seq,stateDt,stateTime,decideCnt,clearCnt,examCnt,deathCnt,careCnt,resutlNegCnt,accExamCnt,accExamCompCnt,accDefRate,createDt,updateDt
1,20200101,18:00,0,1,1,,,,,,,47:33.3,21:56.6
2,20200202,9:00,2,2,2,2,,,,,,22:49.5,
3,20200203,9:00,15,,,,,,,,,41:17.2,19:46.5
4,20200204,0:00,15,,,,,,,,,26:59.6,
5,20200205,9:00,18,,129,,,,,,,56:31.3,43:16.2
6,20200205,19:00,19,1,40,,,,,,,05:40.4,05:36.4
7,20200206,9:00,23,1,169,,,,,,,09:49.5,04:35.3
8,20200207,9:00,24,2,264,,,,,,,53:27.3,44:30.3
9,20200207,16:00,24,2,327,,,,,,,20:45.4,
10,20200208,9:00,24,2,620,,,,,,,09:34.3,
11,20200208,16:00,24,2,939,,,,,,,00:22.2,
12,20200208,16:00,24,2,939,,,,,,,48:05.0,
13,20200208,16:00,24,2,939,,,,,,,01:12.1,
14,20200208,16:00,24,2,939,,,,,,,01:34.3,
15,20200209,9:00,25,3,960,,,,,,,58:22.2,08:56.6
16,20200209,16:00,27,3,888,,,,,,,59:21.2,
17,20200210,9:00,27,3,809,,,,,,,56:41.4,
18,20200210,16:00,27,3,531,,,,,,,03:49.5,04:27.3
19,20200211,9:00,28,4,865,,,,,,,50:10.1,
20,20200211,16:00,28,4,762,,,,,,,09:25.2,
21,20200212,9:00,28,4,992,,,,,,,05:49.5,
22,20200212,16:00,28,7,785,,,,,,,56:47.5,
23,20200213,9:00,28,7,670,,,,,,,50:45.4,
24,20200213,16:00,28,7,562,,,,,,,09:07.1,
25,20200214,9:00,28,7,692,,,,,,,50:49.5,
26,20200214,16:00,28,7,535,,,,,,,16:19.2,
27,20200215,9:00,28,7,638,,,,,,,00:11.1,
28,20200215,16:00,28,9,558,,,,,,,00:21.2,
29,20200216,9:00,29,9,577,,,,,,,04:04.0,
30,20200216,16:00,29,9,485,,,,,,,57:02.0,
31,20200217,9:00,30,9,408,,,,,,,53:13.1,
32,20200217,16:00,30,10,708,,,,,,,50:47.5,
33,20200218,9:00,31,10,957,,,,,,,04:38.4,
34,20200218,9:00,31,10,957,,,,,,,05:31.3,
35,20200218,16:00,31,12,818,,,,,,,42:00.0,
36,20200219,9:00,46,12,1030,,,,,,,53:08.1,
37,20200219,16:00,51,16,1149,,,,,,,00:13.1,
38,20200220,9:00,82,16,1633,,,,,,,01:31.3,
39,20200220,16:00,104,16,1860,1,,,,,,12:33.3,
40,20200221,9:00,156,16,2707,1,,,,,,58:51.5,
41,20200221,16:00,204,17,3180,1,,,,,,12:33.3,
42,20200221,16:00,204,17,3180,1,,,,,,13:21.2,
43,20200222,9:00,346,17,5481,2,,,,,,59:46.5,
44,20200222,16:00,433,18,6037,2,,,,,,00:28.3,
45,20200223,9:00,556,18,6039,4,,,,,,22:25.2,
46,20200223,16:00,602,18,8057,5,,,,,,05:12.1,
47,20200224,9:00,763,18,8725,7,,,,,,17:36.4,
48,20200224,16:00,833,22,11631,7,,,,,,03:50.5,
49,20200225,9:00,893,22,13273,8,,,,,,00:40.4,
50,20200225,16:00,977,22,13880,10,,,,,,02:03.0,
51,20200226,9:00,1146,22,16734,11,,,,,,02:05.0,
52,20200226,16:00,1261,24,20716,12,,,,,,00:43.4,
53,20200227,9:00,1595,24,21097,12,,,,,,19:35.3,
54,20200227,16:00,1766,26,25568,13,,,,,,32:06.1,
55,20200228,9:00,2022,26,24751,13,,,,,,32:34.3,34:23.2
56,20200228,16:00,2337,27,30237,13,,,,,,01:59.6,
57,20200229,9:00,2931,27,29154,16,,,,,,14:50.5,
58,20200229,16:00,3150,28,35182,17,,,,,,16:20.2,02:17.2
59,20200301,9:00,3526,30,32422,17,,,,,,06:32.3,
60,20200301,16:00,3736,30,33360,18,,,,,,41:45.4,
61,20200302,0:00,4212,31,33799,22,4159,71580,109591,75792,5.557314756,52:38.4,08:51.5
62,20200303,0:00,4812,34,35555,28,4750,85484,125851,90296,5.329139718,46:53.5,08:12.1
63,20200304,0:00,5328,41,28414,32,5255,102965,136707,108293,4.919985595,21:44.4,06:59.6
64,20200305,0:00,5766,88,21810,35,5643,118965,146541,124731,4.622748154,15:12.1,06:01.0
65,20200306,0:00,6284,108,21832,42,6134,136624,164740,142908,4.397234584,55:44.4,05:01.0
66,20200307,0:00,6767,118,19620,44,6605,151802,178189,158569,4.267542836,00:45.4,36:26.3
67,20200308,0:00,7134,130,19376,50,6954,162008,188518,169142,4.21775786,16:27.3,35:51.5
68,20200309,0:00,7382,166,17458,51,7165,171778,196618,179160,4.120339361,47:15.1,29:59.6
69,20200310,0:00,7513,247,18452,54,7212,184179,210144,191692,3.919308057,20:27.3,
70,20200311,0:00,7755,288,18540,60,7407,196100,222395,203855,3.804174536,17:19.2,
71,20200312,0:00,7869,333,17727,66,7470,209402,234998,217271,3.621744273,37:03.0,
72,20200313,0:00,7979,510,17940,67,7402,222728,248647,230707,3.458499309,07:22.2,
73,20200314,0:00,8086,714,17634,72,7300,235615,261335,243701,3.318000336,29:11.1,34:07.1
74,20200315,0:00,8162,834,16272,75,7253,243778,268212,251940,3.239660237,01:22.2,
75,20200316,0:00,8236,1137,14971,75,7024,251297,274504,259533,3.173392208,12:33.3,
76,20200317,0:00,8320,1401,17291,81,6838,261105,286716,269425,3.088057901,29:38.4,
77,20200318,0:00,8413,1540,16346,84,6789,270888,295647,279301,3.012162506,26:15.1,
78,20200319,0:00,8565,1947,15904,91,6527,282555,307024,291120,2.942085738,07:57.6,
79,20200320,0:00,8652,2233,15525,94,6325,292487,316664,301139,2.873091828,15:59.6,
80,20200321,0:00,8799,2612,15704,102,6085,303006,327509,311805,2.82195603,02:58.6,
81,20200322,0:00,8897,2909,14540,104,5884,308343,331780,317240,2.804501324,07:28.3,
82,20200323,0:00,8961,3166,13628,111,5684,315447,338036,324408,2.762262336,27:32.3,
83,20200324,0:00,9037,3507,15440,120,5410,324105,348582,333142,2.712657065,09:30.3,
